#progeny
#Accession
t19-26-4-9402	T19-26-4-9402
t19-26-4-9402	T19-26-4-9402
t19-3-6-9408	T19-3-6-9408
t19-3-6-9408	T19-3-6-9408
t19-3-6-9408	T19-3-6-9408
t19-3-6-9408	T19-3-6-9408
t19-3-6-9408	T19-3-6-9408
t19-3-6-9408	T19-3-6-9408
t19-3-6-9408	T19-3-6-9408
t19-37-82-9401	T19-37-82-9401
t19-37-82-9401	T19-37-82-9401
t19-37-82-9401	T19-37-82-9401
t19-37-82-9401	T19-37-82-9401
t19-37-82-9401	T19-37-82-9401
t19-37-82-9401	T19-37-82-9401
t19-37-82-9401	T19-37-82-9401
t19-37-82-9401	T19-37-82-9401
t19-37-88-9401	T19-37-88-9401
t19-37-88-9401	T19-37-88-9401
t19-37-88-9401	T19-37-88-9401
t19-37-88-9401	T19-37-88-9401
t19-39-44-9423	T19-39-44-9423
t19-39-44-9423	T19-39-44-9423
t19-39-85-9423	T19-39-85-9423
t19-39-85-9423	T19-39-85-9423
t19-39-85-9423	T19-39-85-9423
t19-39-85-9423	T19-39-85-9423
t19-40-71-9423	T19-40-71-9423
t19-40-71-9423	T19-40-71-9423
t19-40-71-9423	T19-40-71-9423
t19-40-71-9423	T19-40-71-9423
t19-40-97-9423	T19-40-97-9423
t19-40-97-9423	T19-40-97-9423
t19-40-97-9423	T19-40-97-9423
t19-40-97-9423	T19-40-97-9423
t19-40-97-9423	T19-40-97-9423
t19-40-97-9423	T19-40-97-9423
t19-40-97-9423	T19-40-97-9423
t19-40-97-9423	T19-40-97-9423
t19-44-39-9430	T19-44-39-9430
t19-44-39-9430	T19-44-39-9430
t19-44-39-9430	T19-44-39-9430
t19-44-39-9430	T19-44-39-9430
t19-44-4-9429	T19-44-4-9429
t19-44-4-9429	T19-44-4-9429
t19-50-57-9442	T19-50-57-9442
t19-50-57-9442	T19-50-57-9442
t19-50-57-9442	T19-50-57-9442
t19-55-80-9429	T19-55-80-9429
t19-55-80-9429	T19-55-80-9429
t19-57-26-9430	T19-57-26-9430
t19-57-26-9430	T19-57-26-9430
t19-57-33-9443	T19-57-33-9443
t19-57-33-9443	T19-57-33-9443
t19-57-37-9430	T19-57-37-9430
t19-57-51-9430	T19-57-51-9430
t19-57-51-9430	T19-57-51-9430
t19-57-51-9430	T19-57-51-9430
t19-57-51-9430	T19-57-51-9430
t19-57-51-9430	T19-57-51-9430
t19-9-66-9435	T19-9-66-9435
t19-9-66-9435	T19-9-66-9435
t21-10s-53-9614	T21-10S-53-9614
t21-10s-53-9614	T21-10S-53-9614
t21-10s-96-9614	T21-10S-96-9614
t21-10s-96-9614	T21-10S-96-9614
t21-11-78-9542	T21-11-78-9542
t21-11-78-9542	T21-11-78-9542
t21-11s-138-9816	T21-11S-138-9816
t21-11s-138-9816	T21-11S-138-9816
t21-12-4-9531	T21-12-4-9531
t21-12-4-9531	T21-12-4-9531
t21-13-80-9532	T21-13-80-9532
t21-13-80-9532	T21-13-80-9532
t21-14-69-9504	T21-14-69-9504
t21-14-69-9504	T21-14-69-9504
t21-15-45-9504	T21-15-45-9504
t21-15-45-9504	T21-15-45-9504
t21-16-68-9505	T21-16-68-9505
t21-16-68-9505	T21-16-68-9505
t21-17-15-9534	T21-17-15-9534
t21-17-15-9534	T21-17-15-9534
t21-18-35-9523	T21-18-35-9523
t21-18-35-9523	T21-18-35-9523
t21-18-96-9530	T21-18-96-9530
t21-18-96-9530	T21-18-96-9530
t21-20-108-9519	T21-20-108-9519
t21-20-108-9519	T21-20-108-9519
t21-20-24-9519	T21-20-24-9519
t21-20-24-9519	T21-20-24-9519
t21-20-38-9519	T21-20-38-9519
t21-20-38-9519	T21-20-38-9519
t21-20-43-9519	T21-20-43-9519
t21-20-43-9519	T21-20-43-9519
t21-20-48-9519	T21-20-48-9519
t21-20-48-9519	T21-20-48-9519
t21-20-51-9519	T21-20-51-9519
t21-20-51-9519	T21-20-51-9519
t21-20-51-9519	T21-20-51-9519
t21-20-51-9519	T21-20-51-9519
t21-20-87-9519	T21-20-87-9519
t21-20-87-9519	T21-20-87-9519
t21-21-45-9519	T21-21-45-9519
t21-21-45-9519	T21-21-45-9519
t21-22-7-0000	T21-22-7-0000
t21-22-7-0000	T21-22-7-0000
t21-22-82-9519	T21-22-82-9519
t21-22-82-9519	T21-22-82-9519
t21-23-112-0000	T21-23-112-0000
t21-23-112-0000	T21-23-112-0000
t21-23-112-0000	T21-23-112-0000
t21-23-112-0000	T21-23-112-0000
t21-23-92-0000	T21-23-92-0000
t21-23-92-0000	T21-23-92-0000
t21-25-90-9553	T21-25-90-9553
t21-25-90-9553	T21-25-90-9553
t21-25-94-9553	T21-25-94-9553
t21-3s-96-9610	T21-3S-96-9610
t21-3s-96-9610	T21-3S-96-9610
t21-4-18-9553	T21-4-18-9553
t21-4-18-9553	T21-4-18-9553
